PLAYER1_NAME,PLAYER2_NAME,arch_pair,MIN,NET_RATING,success
Keshad Johnson,Dylan Harper,Engine + Rim Runner,305.0,18.5,1.0
Jalen Duren,Daniss Jenkins,Anchor + Engine,608.0,16.0,1.0
Grant Williams,Josh Green,Spacer + Spacer,298.0,26.7,1.0
OG Anunoby,Tyler Kolek,Anchor + Engine,288.0,15.7,1.0
Shai Gilgeous-Alexander,Isaiah Joe,Engine + Spacer,661.0,16.3,1.0
Isaiah Joe,Chet Holmgren,Anchor + Spacer,569.0,15.2,1.0
Jayson Tatum,Payton Pritchard,Engine + Engine,278.0,18.5,1.0
Aaron Gordon,Nikola Jokić,Connector + Connector,650.0,18.1,1.0
Victor Wembanyama,Dylan Harper,Anchor + Engine,560.0,27.0,1.0
Karl-Anthony Towns,Jose Alvarado,Anchor + Connector,278.0,20.6,1.0
OG Anunoby,Mitchell Robinson,Anchor + Anchor,548.0,16.7,1.0
Jaylen Brown,Jayson Tatum,Engine + Engine,318.0,15.0,1.0
CJ McCollum,Dyson Daniels,Connector + Engine,700.0,21.4,1.0
Isaiah Hartenstein,Chet Holmgren,Anchor + Anchor,704.0,20.9,1.0
CJ McCollum,Onyeka Okongwu,Anchor + Engine,706.0,16.1,1.0
Chet Holmgren,Ajay Mitchell,Anchor + Engine,712.0,17.0,1.0
Cason Wallace,Ajay Mitchell,Connector + Engine,693.0,15.8,1.0
Keshad Johnson,Victor Wembanyama,Anchor + Rim Runner,694.0,15.2,1.0
Alex Caruso,Chet Holmgren,Anchor + Connector,411.0,21.7,1.0
Aaron Holiday,Jabari Smith Jr.,Anchor + Spacer,396.0,16.4,1.0
